P_U_W_WITH_attack_av;P_U_W_without_attack_av
35469,78709;22191,58
35915,15173;22658,25667
35459,883;22225,45167
35674,05294;22451,265
35993,5562;22761,86833
37141,64375;23872,05167
36200,80768;22873,73
35293,70778;21900,36667
35562,65192;22122,83667
35959,07791;22559,48333
26204,22606;21380,35833
9087,614481;22448,92667
9053,04551;22476,79333
8217,95633;21693,09167
7889,213879;21406,38667
7307,952922;20867,40167
8480,836977;22083,75833
9163,156546;22811,53
9051,454746;22743,89667
9091,985216;22816,08167
8832,737552;22556,84167
9851,696602;22430,73167
35527,38727;23021,61833
34995,31412;21780,975
34196,75014;20934,34167
34958,15515;21667,64
34198,17684;20899,87833
34268,05347;20977,44
34153,22119;20881,36833
34669,44591;21419,79333
34581,81797;21348,19667
34683,68324;21450,13667
