SOC_without_attack;SOC_fake;SOC_with_attack;PBESS_without_attack;PBESS_fake;PBESS_with_attack
83,66666667;85;31,3;-9288;-9281,572564;9154,819214
79,8;81,33333333;34,93333333;-10255,33333;-10306,14961;13225,72498
75,9;77,33333333;38,66666667;-10174;-10326,25187;13276,85631
72,63333333;73,73333333;42,4;-8666,333333;-8831,620817;13307,14625
69,06666667;70,2;46,13333333;-10711,66667;-10648,33419;13318,16711
64,73333333;65,93333333;49,73333333;-10610;-10702,71796;13312,52956
60,46666667;61,63333333;53,5;-11733;-11900,96491;13294,93852
55,36666667;56,66666667;57,16666667;-13509,66667;-13592,67502;13272,67336
50,16666667;51,33333333;60,86666667;-13574,33333;-13657,51299;13255,14375
44,76666667;45,9;64,6;-13585;-13695,37931;13252,26325
39,3;40,43333333;68,43333333;-13576;-13709,15993;13271,7949
34,13333333;34,8;72,26666667;-13553;-13676,37151;13316,18498
28,63333333;29,1;76,16666667;-13542;-13574,61303;13379,14888
23,26666667;23,3;80,06666667;-13555,33333;-13388,41126;13441,14916
20;20;83,96666667;-891,6666667;-403,7932307;13460,36788
20;20;87,86666667;-1;32,75519484;13346,4343
20;20;89,53333333;5,333333333;32,5647564;-6682,212772
20;20;84,6;24,33333333;32,36576663;-13369,35591
19,03333333;20;79,3;26,33333333;32,15880786;-13424,68301
19;19,56666667;73,9;27,33333333;31,94444776;-13472,12444
19;19;68,53333333;25,66666667;31,723239;-13515,49701
19;19;63,2;25,33333333;31,49571887;-13558,18469
19;19;57,8;23;31,26240904;-13602,57115
19;19;52,46666667;24,66666667;31,02381526;-13648,22093
19;19;47,03333333;22;30,78042723;-13688,75413
19;19;41,56666667;22,33333333;30,5327184;-13709,33644
19;19;36;23,33333333;30,28114598;-13688,27323
19;19;31,13333333;23,33333333;30,02615078;-1577,690678
19;19;33,33333333;23;29,7681573;13196,95804
19;19;37,13333333;23,66666667;29,50757372;13257,56434
19;19;40,8;24;29,24479199;13296,61443
19;19;44,5;27,33333333;28,98018795;13315,6706
19;19;48,23333333;26;28,71412145;13316,74342
19;19;51,86666667;25,33333333;28,44693656;13303,54042
19;19;55,6;25,33333333;28,17896173;13282,2284
19;19;59,26666667;27;27,91051007;13261,43133
